ESD No	ESD Name	District-County Code	District name	Mailing AddressLine1	Mailing  AddressLine2	Mailing City	Mailing  State	Mailing  ZipCode	Physical AddressLine1	Physical  AddressLine2	Physical City	Physical  State	Physical  ZipCode	Superintendent Name	phone
4801	North Central Educational Service District 171	9209	Waterville School District	PO BOX 490		WATERVILLE	Washington	98858-0490	200 E BIRCH		WATERVILLE	Washington	98858-0490	Catherine Nelson	509.745.8584
32801	Educational Service District 101	33049	Wellpinit School District	PO BOX 390		WELLPINIT	Washington	99040-9700	6270 FORD WELLPINIT RD		WELLPINIT	Washington	99040-9700	Tim Ames	509.258.4535
4801	North Central Educational Service District 171	4246	Wenatchee School District	PO BOX 1767		WENATCHEE	Washington	98801-1999	235 SUNSET AVE		WENATCHEE	Washington	98801-1999	Brian Flones	509.663.8161
32801	Educational Service District 101	32363	West Valley School District (Spokane)	PO BOX 11739		SPOKANE	Washington	99212-2245	2805 N ARGONNE RD		SPOKANE	Washington	99212-2245	Gene Sementi	509.924.2150
39801	Educational Service District 105	39208	West Valley School District (Yakima)	8902 ZIER RD		YAKIMA	Washington	98908-9240	8902 ZIER RD		YAKIMA	Washington	98908-9240	MICHAEL BROPHY	509.972.6005
34801	Educational Service District 113	21303	White Pass School District	PO BOX 188		RANDLE	Washington	98377-9208	516 SILVERBROOK RD		RANDLE	Washington	98377-9208	Rebecca Miner	360.497.3791
17801	Puget Sound Educational Service District 121	27416	White River School District	PO BOX 2050		BUCKLEY	Washington	98321-2050	240 N A ST		BUCKLEY	Washington	98321-2050	Janel Keating	360.829.3814
6801	Educational Service District 112	20405	White Salmon Valley School District	PO BOX 157		WHITE SALMON	Washington	98672-0157	171 NW WASHINGTON		WHITE SALMON	Washington	98672-0157	Jerry Lewis	509.493.1500
32801	Educational Service District 101	22200	Wilbur School District	PO BOX 1090		WILBUR	Washington	99185-1090	202 POPE ST		WILBUR	Washington	99185-1090	Steve Gaub	509.647.2221
34801	Educational Service District 113	25160	Willapa Valley School District	PO BOX 128		MENLO	Washington	98561-9998	22 VIKING WAY		MENLO	Washington	98561-9998	Rob Friese	360.942.5855
4801	North Central Educational Service District 171	13167	Wilson Creek School District	PO BOX 46		WILSON CREEK	Washington	98860-0046	400 NAVAR ST		WILSON CREEK	Washington	98860-0046	Brad Smedley	509.345.2541
34801	Educational Service District 113	21232	Winlock School District	311 NW FIR ST		WINLOCK	Washington	98596-9417	311 NW FIR ST		WINLOCK	Washington	98596-9417	Shannon Criss	360.785.3582
34801	Educational Service District 113	14117	Wishkah Valley School District	4640 Wishkah Road		Aberdeen	Washington	98520-9626	4640 Wishkah Road		Aberdeen	Washington	98520-9626	Ray Yoder	360.532.3128
6801	Educational Service District 112	20094	Wishram School District	PO BOX 8		WISHRAM	Washington	98673-0008	135 BUNN		WISHRAM	Washington	98673-0008	Duane Grams	(509) 748-2551
6801	Educational Service District 112	8404	Woodland School District	800 3RD ST		WOODLAND	Washington	98674-8467	800 3RD ST		WOODLAND	Washington	98674-8467	Michael Green	360.841.2705
39801	Educational Service District 105	39007	Yakima School District	104 N 4TH AVE		YAKIMA	Washington	98902-2636	104 N 4TH AVE		YAKIMA	Washington	98902-2636	Elaine Beraza	509.573.7001
34801	Educational Service District 113	34002	Yelm School District	PO BOX 476		YELM	Washington	98597-0476	107 1st N.		YELM	Washington	98597-0476	WILLIAM WOLF	360.458.1900
39801	Educational Service District 105	39205	Zillah School District	213 4TH AVE		ZILLAH	Washington	98953-9533	213 4TH AVE		ZILLAH	Washington	98953-9533	Kevin Mckay	509.829.5911
