County	Public School District	School Name	School Bldg Number	Administrator	Address	City	State	Zip	Phone Number	Email Address	Web Site Address	Grade	Profit/Non-Profit	Accredited
Skagit	Mount Vernon	Mount Vernon Christian School	8154	Jeff Droog	820 W Blackburn Rd	Mount Vernon	WA	98273-9596	360.424.9157	jdroog@mountvernonchristian.org	www.mvcwa.com	P-12	NP	CSI
Clallam	Sequim	Mountain View Christian School	8315	Brian Gang	255 Medsker Rd	Sequim	WA	98382-8516	360.683.6170	mvcsinfo@gmail.com	www.mountainviewschristianschool.org	1-8	NP	
Mason	Shelton	Mt. Olive Lutheran School	800Y	Margarete Dohring	206 E Wyandotte	Shelton	WA	98584-3610	360.427.3165	daycaremolc@comcast.net	www.molc.ctsmemberconnect.net	K-1	NP	
Pierce	Puyallup	Mt. Rainier Lutheran High School	8956	Sarah Elliott	7306 Waller Rd E	Tacoma	WA	98443-1105	253.284.4433	selliott@mrlh.org	www.mrlh.org	9-12	NP	NLSA
Snohomish	Mukilteo	Mukilteo Academy	1411	Victoria Michael	13000 Beverly Park Rd	Mukilteo	WA	98275-5849	425.347.3665 ext 2	VictoriaMichael@MukilteoAcademy.com	www.mukilteoAcademy.com	P-1	NP	NWAC
King	Renton	New Horizon School	8110	Marla Veliz	1111 S Carr Rd	Renton	WA	98055-5839	425.226.3717	mveliz@new-horizon-school.org	www.new-horizon-school.org	5-12	NP	NWAC
Grant	Ephrata	New Life Christian School	8605	Matthew Tucker	911 E Division	Ephrata	WA	98823-1965	509.754.5558	administrator@nlcs.us	www.nlcs.us	P-12	NP	NWAC
King	Bellevue	Newport Children's School	8986	Cynthia Chaney	12930 SE Newport Way	Bellevue	WA	98006-2078	425.641.0824	cynthia@newportschool.com	www.newportschool.com	P-1	P	
Yakima	Naches Valley	Nile Christian School/Hope Academy	8596	Bruce Gillespie	370 Flying H Loop	Naches	WA	98937-9440	509.658.2990	bruce.gillespie@flyingh.org	www.flyingh.org	7-12	NP	NWAC
King	Snoqualimie Valley	North Bend Montessori Inc	8287	Susan Weigel	"248 Ballarat Ave N               
(Mail: PO Box 2300                 
North Bend 98045-8610)"	North Bend	WA	98045	425.831.5766	slw963@gmail.com	nbmontessori.com	P-1	P	
Okanogan	Oroville	North Country Christian School	8918	Margo Thompson	737 Mary Ann Creek Rd	Oroville	WA	98844-9643	509.485.2011	margolthompson@yahoo.com		P-12	NP	
Spokane	Mead	North Wall Elementary	8725	Jan Swanson	9408 N Wall St	Spokane	WA	99218-2245	509.466.2695	northwallschools@comcast.net	www.northwallschools.com	P-6	P	AMS
Island	Oak Harbor	North Whidbey Christian High	1478	Doug Fakkema	"675 E Whidbey Ave                
(Mail PO Box 2471                 
Oak Harbor 98277-6471)"	Oak Harbor	WA	98277-5901	360.675.5352	dougfakkema@gmail.com	www.nwchs.org	9-12	NP	
Island	Oak Harbor	North Whidbey Kid's Academy (formerly Doodlebugs Academy  2013)	801I	Tina Smith	297 NE Harvest Dr.	Oak Harbor	WA	98277-5909	360.675.4911	northwhidbeykidsacademy@comcast.net	http://home.comcast.net/~doodlebugsacademy/index.html	P-2	P	
King	Lake Washington	Northern Lights Montessori School	802C	Florence Plantilla	8460 160th Ave NE	Redmond	WA	98052-3855	425.647.3031	florenceplantilla@yahoo.com	norlightsmontessori.org	P-1	P	
Snohomish	Mukilteo	Northshore Christian Academy	8111	Holly Leach	5700 23rd Dr W	Everett	WA	98203-1570	425.407.1119	hleach@northshorechristian.org	northshorechristianschools.org	P-8	NP	ACSI
Thurston	North Thurston	Northwest Christian High School	8174	Dr. Terry Ketchum	4710 Park Center Ave NE	Lacey	WA	98516-5587	360.491.2966	tketchum.nchs@gmail.com	www.nchs-olympia.org	9-12	NP	
Spokane	Mead	Northwest Christian School	8270	Jack Hancock	5104 E Bernhill Rd	Colbert	WA	99005-9005	509.238.4005	bfriedly@nwcs.org	www.nwcs.org	9-12	NP	NAAS
Spokane	Mead	Northwest Christian School	8182	Jack Hancock	5028 E Bernhill Rd	Colbert	WA	99005-9557	509.292.6700	bfriedly@nwcs.org	www.nwcs.org	P-8	NP	NAAS
Pierce	Puyallup	Northwest Christian School (formerly Nelson Crane Christian School) (2009)	8129	Craig Mattson	904 Shaw Rd	Puyallup	WA	98372-5211	253.845.5722	cmattson@nwchristianschool.org	nwchristianschool.org	P-8	NP	SDA
King	Renton	Northwest Free School	800I	Lara Pederson Randolph	1427 Queen Ave NE	Renton	WA	98056-3340	425.228.0345	northwestfreeschool@yahoo.com	www.northwestfreeschool.com	K-8	NP	
King	Northshore	Northwest Liberty School 	1484	Robert Hagin	13120 NE 177th Pl  A-104	Woodinville	WA	98072-5725	206.914.3809	bob@northwestlibertyschool.org	NorthwestLibertySchool.org	7-12	P	NWAC
King	Seattle	Northwest Montessori	8894	Jan Thorslund	"4910 Phinney Ave N                   
(Mail: 7400 25th Ave NE           
Seattle 98115-5814)"	Seattle	WA	98103-6347	206.524.4244	jthorslund@northwestmontessori.org	www.northwestmontessori.org	P-6	NP	AMS
King	Seattle	Northwest School	8573	Michael McGill	1415 Summit Ave	Seattle	WA	98122-3619	206.682.7309	mike.mcgill@northwestschool.org	www.northwestschool.org	6-12	NP	PNAIS
King	Shoreline	Northwest School For Hearing Impaired	8684	Peggy Mayer	15303 Westminster Way N          (Mail: PO Box 31325                  Seattle 98103-1325)	Shoreline	WA	98133-6126	206.364.4605	peggynws@comcast.net	www.northwestschool.com	P-8	NP	
King	Mercer Island	Northwest Yeshiva High School	8569	Rabbi Bernie Fox	5017 90th Ave SE	Mercer Island	WA	98040-4709	206.232.5272	admin@nyhs.net	www.nyhs.com	9-12	NP	NWAC
Thurston	Olympia	Nova School	8948	Jack Fallat	2020 22nd Ave SE	Olympia	WA	98501-3102	360.491.7097	fallat@comcast.net	novaschool.org	6-8	NP	PNAIS
Island	Oak Harbor	Oak Harbor Christian School	8026	Dave Zylstra	675 E Whidbey Ave	Oak Harbor	WA	98277-2596	360.675.2831	dzylstra@oakharborchristian.org	oakharborchristian.org	P-8	NP	
Yakima	West Valley 208	Oakridge Ranch - Montessori Farm School	1413	Judy Lefors	11002 Orchard Ave                          (Mail: 6403 Summitview Ave              Yakima 98908-1362)	Yakima	WA	98908-9102	509.966.1080	oakridgeyakima@aol.com		1-8	NP	
Pierce	Tacoma	Oasis of Hope Academy	802G	Delois Brown	1937 South G St	Tacoma	WA	98405-4333	253.383.0077	dmariebrown42@msn.com	www.greaterchristtemple.org	K-1	NP	
King	Seattle	O'Dea High School	8050	James Walker	802 Terry Ave	Seattle	WA	98104-1294	206.622.6596	jdwalker@odea.org	www.odea.org	9-12	NP	NWAC
Thurston	Olympia	Olympia Christian School	8209	Anita McKown	1215 Ethel St NW	Olympia	WA	98502	360.352.1831	anitamckown@yahoo.com	www.ocssda.org	K-8	NP	SDA
Thurston	Olympia	Olympia Community School	8317	Susan Meenk	"1601 North St SE                       
(Mail: PO Box 12436          
Olympia 98508-2436)"	Olympia	WA	98501-3666	360.866.8047	Susan.Meenk@providence.org	olympiacommunityschool.org	K-5	NP	
Thurston	Tumwater	Olympia Waldorf School	8855	Timothy Morrissey	"8126 Normandy St SE                     
(Mail: PO Box 130                       
East Olympia 98540-0638)"	Olympia	WA	98501-9623	360.493.0906	education@olywaldorf.org	www.olympiawaldorf.org	P-8	NP	AWCNA
Clallam	Port Angeles	Olympic Christian School	8302	Brian Clark	43 O'Brien Rd	Port Angeles	WA	98362-9225	360.457.4640	ocs@ocsweb.org	www.ocsweb.org	P-8	NP	
Okanogan	Omak	Omak Adventist Christian School	8985	Jennifer J. Hoffpauir	"425 W 2nd Ave                    
(Mail: PO Box 3294                 
Omak  98841-3294)"	Omak	WA	98841-	509.826.5341	omakadventistchristianschool@yahoo.com		1-8	NP	
King	Bellevue	Open Window School	8830	Jeff Stroebel	6128 168th Place SE	Bellevue	WA	98006-5679	425.747.2911	jeffs@ows.org	www.ows.org	K-8	NP	PNAIS
San Juan	Orcas Island	Orcas Christian School	8557	Thomas Roosam	"107 Enchanted Forest Rd
(Mail: PO Box 669
Eastsound WA 98245-0669)"	Eastsound	WA	98245-8905	360.376.6683	roosmat@hotmail.com	www.oics.org	K-12	NP	NWAC
King	Seattle	Our Lady of Fatima School	8051	Susan Burdett	3301 W Dravus St	Seattle	WA	98199-2624	206.283.7031	sburdett@olfatima.org	www.olfatima.org	P-8	NP	WCEA
King	Seattle	Our Lady of Guadalupe School	8052	Kristin Dixon	3401 SW Myrtle St	Seattle	WA	98126-3399	206.935.0651	kristin.dixon@guadalupe-school.org	guadalupe-school.org	P-8	NP	WCEA
Clark	Vancouver	Our Lady of Lourdes School	8009	Dr. Diane Cronin	4701 NW Franklin St	Vancouver	WA	98663-1798	360.696.2301	principal@lourdesvan.org	www.lourdesvan.org	P-8	NP	WCEA
King	Seattle	Our Lady Of The Lake School	8054	Vince McGovern	3520 NE 89th St	Seattle	WA	98115-3648	206.525.9980	vmcgovern@ollseattle.org	www.ollseattle.org	P-8	NP	WCEA
Kitsap	Bremerton	Our Lady Star of the Sea School	8115	Jeannette Wolfe	1516 5th St	Bremerton	WA	98337-1216	360.373.5162	jwolfe@starofthesea.net	www.sosbremerton.org	P-8	NP	WCEA
King	Federal Way	Overcomer Academy (formerly Stepping Stones Christian School)  (2010)	1474	Bonnie Carpenter	33415 Military Rd S	Auburn 	WA	98001-9603	253.939.0553	bonniec@overcomercc.org	www.overcomercc.org	P-6	NP	
King	Lake Washington	Overlake School	8109	Matthew Horvat	20301 NE 108th St	Redmond	WA	98053-7499	425.868.1000	mhorvat@overlake.org	www.overlake.org	5-12	NP	PNAIS
Clark	Camas	Pacific Crest Academy	8394	Tamar Parker	324 NE Oak Street                                                (Mail: PO Box 1031                                        Camas 98607-0031)	Camas	WA	98607-1439	360.834.9913	parker@pacificcrestacademy.org	www.pacificcrestacademy.org	P-8	NP	WCEA
King	Seattle	Pacific Crest Schools	8929	Jacquie Maughan	600 NW Bright St	Seattle	WA	98107-4451	206.789.7889	jmaughan@pacificcrest.org	www.pacificcrest.org	P-8	NP	NWAC
King	Issaquah	Pacific Learning Academy	801V	Kirsten O'Malley	22525 SE 64th Pl  Ste 272          	Issaquah	WA	98027-8114	425.562.3545	Kirsten@PacificLearningAcademy.com	www.PacificLearningAcademy.org	6-12	P	NWAC
King	Edmonds	Pacific Learning Center NW	8419	Daniel D. Hanson	14550 Westminster Way	Shoreline	WA	98133-6431	425.672.6805	info@plcnw.org	www.plcnw.org	K-12	P	NWAC
Spokane	Spokane	Palisades Christian Academy (formerly Spokane Junior Academy) (2009)	8186	Stephanie Gates	1115 N Governmental Way	Spokane	WA	99224-5247	509.325.1985	StephanieG@pcasda.org	spokane23.adventistschoolconnect.org	K-10	NP	SDA
Pierce	Franklin Pierce	Parkland Lutheran School	8150	Brent Sorn	120 123rd St S	Tacoma	WA	98444-5060	253.537.1901	bsorn@parklandlutheran.org 	www.parklandlutheran.org	P-8	NP	
Kitsap	Central Kitsap	Peace Lutheran School	8613	Doug Eisele	1234 NE Riddell Rd	Bremerton	WA	98310-3668	360.373.2116	deisele@peacebremerton.org	www.peacelutherannw.org	P-8	NP	NWAC
Snohomish	Snohomish	Peaceful Glen Christian School	8138	Kathleen Biehl	2727 Lake Avenue                                      (Mail: PO Box 710            Snohomish 98291-0170)	Snohomish	WA	98290-1022	360.563.0131	peacefulglen@gmail.com		P-8	NP	
Okanogan	Tonasket	Peaceful Valley Christian School	8127	Jacqueline Jager	32084 Hwy 97 #D                            (Mail: PO Box 1062                         Tonasket 98855-1062)	Tonasket	WA	98855-9206	509.486.4345	pvcs@nvinet.com	www.peacefulvalleychristianschool.com	1-8	NP	
King	Seattle	Perkins School	8251	Barry Wright	9005 Roosevelt Way NE	Seattle	WA	98115-3030	206.526.8217	bwright@theperkinsschool.org	www.perkinsschool.com	K-5	NP	
Whatcom	Ferndale	Pioneer Meadows Montessori School 	1447	Kim Connor	2377 Douglas Rd	Ferndale	WA	98248-9049	360.312.9097	kim@pioneermeadowsschool.com	www.pioneermeadowsschool.com	P-6	NP	
Spokane	Central Valley	Pioneer School	8724	Betty Burley-Wolf	618 N Sullivan Rd	Veradale	WA	99037-8528	509.922.7818	betty@pioneerschool.com	www.pioneerschool.com	K-5	NP	
Thurston	North Thurston	Pope John Paul II High School	800Z	Ronald Edwards	5608 Pacific Ave SE                     	Lacey	WA	98503-1258	360.438.7600	redwards@popejp2hs.org	www.popejp2hs.org	9-12	NP	NWAC
Kitsap	North Kitsap	Poulsbo SDA School	8874	Susan Schilt	1700 Lincoln Rd NE  Suite 1	Poulsbo	WA	98370-8549	360.779.6290	sschilt123@gmail.com	paslearn.org	1-8	NP	SDA
King	Highline	Praise Christian Academy	1448	Dr. Cheryl Baker	1022 SW 151 St	Burien	WA	98166-1840	206.612.9102	drcbaker16@gmail.com	wix.com/drcbaker/templeofpraise.com	K-12	NP	
King	Mercer Island	Privett Academy	1436	Carol C. Meyer	9311 SE 36th St                               (Mail: PO Box 42                      Mercer Island  98040-0042)	Mercer Island	WA	98040-3740	206.232.0059	cmeyer150@comcast.net	www.privettacademy.org	6-12	NP	NWAC
Snohomish	Mukilteo	Providence Christian School	800Q	Gerard Ball	12420 Evergreen Dr                                               (Mail: PO Box 383                  Mountlake Terr 98043-0383)	Mukilteo	WA	98275-5708	360.303.3038	gerard@providencechristianschool.org		P-12	NP	
Whatcom	Ferndale	Providence Christian School Northwest (formerly Providence Christian School) (2009)	8493	Kathy Vander Pol	5942 Portal Way                                (Mail: PO Box 180                                 Ferndale  98248-0180)	Ferndale	WA	98248	360.318.1347 	pcs.nw@live.com	pcsnw.org	K-12	NP	
Snohomish	Edmonds	Providence Classical Christian School	1449	Ryan Evans	21500 Cypress Way  Suite B	Lynnwood	WA	98036-7939	425.774.6622	ryanevans@pccs.org	www.pccs.org	P-12	NP	
King	Lake Washington	Puget Sound Adventist Academy	8259	Linda Taber	5320 108th Ave NE	Kirkland	WA	98033-7517	425.822.7554	ltaber@psaa.org	www.psaa.org	9-12	NP	SDA
Pierce	Tacoma	Puget Sound Christian School	8845	Kevin Galbreath	1740 S 84th St	Tacoma	WA	98444-3114	253.537.6870	principal@pschristianschool.com	www.pschristianschool.com	P-6	NP	
King	Seattle	Puget Sound Community School	8652	Andrew Smallman	660 S Dearborn St	Seattle	WA	98134-1328	206.324.4350	"pscs@pscs.org
melinda@pscs.org"	www.pscs.org	6-12	NP	
Whitman	Pullman	Pullman Christian School	8397	Sherri Goetze	345 SW Kimball	Pullman	WA	99163-2146	509.332.3545	sherrig@PullmanChristianSchool.org	www.pullmanchristianschool.org	K-12	NP	
Clallam	Port Angeles	Queen of Angels School	8006	Mike Juhas	1007 S Oak St	Port Angeles	WA	98362-7742	360.457.6903	mjuhas@qofaschool.org	qofaschool.org	P-8	NP	NWAC
Grant	Quincy	Quincy Valley School	1472	Sara Tuttle	1804 13th Ave SW	Quincy	WA	98848-1930	509.787.5928	stuttle@quincyvalleyschool.org	www.quincyvaleyschool.org	P-8	NP	
King	Auburn	Rainier Christian High School	8848	Justin Evans	19830 SE 328th Pl	Auburn	WA	98092-2212	253.735.1413	jevans@rainiercsd.org	www.rainierchristianschools.org	9-12	NP	
King	Kent	Rainier Christian Middle School	8242	Glenn Olson	26201 180th Ave SE	Covington	WA	98042-4917	253.639.7715	golson@rainiercsd.org	www.rainierchristianschools.org	7-8	NP	
King	Renton	Rainier Christian Schools-Highlands Elementary	8253	Paula Satterberg	850 Union Ave NE                                         (Mail: PO Box 2578                           Renton 98056-0578)	Renton	WA	98059-4503	425.228.9897	psatterberg@rainiercsd.org	www.rainiercsd.org/hces	P-6	NP	
King	Auburn	Rainier Christian Schools-Kent View Elementary	8622	Tess Johnson	20 49th St NE	Auburn	WA	98002-1201	253.852.5145	tjohnson@rainiercsd.org	http://www.rainiercsd.org/kvces/index.htm	P-6	NP	
King	Kent	Rainier Christian Schools-Maple Valley Elementary	8099	Weldo D. Melvin	"16700 174th Ave SE                  
(Mail: PO Box 58129         
Renton 98058-1129)"	Renton	WA	98058-9546	425.226.4640	wmelvin@rainiercsd.org		P-6	NP	
King	Renton	Renton Christian School	8540	Dr. Erik Konsmo	15717 152nd Ave SE	Renton	WA	98058-6330	425.226.0820	erik.konsmo@rentonchristian.org	www.rentonchristian.org	P-8	NP	ACSI
Thurston	Olympia	Rising Tide School	800R	Abbe Vogels	114 20th Ave SE                            (Mail: 512 Central St NE                 Olympia 98506)	Olympia	WA	98501	360.753.0820	info@risingtideschool.org	www.risingtideschool.org	K-12	NP	
Spokane	Spokane	River Day School	801W	Colleen Curran	116 W Indiana	Spokane	WA	99205-4827	509.326.6595	riverdayschool@gmail.com	www.riverdayschool.org	K-6	NP	
Yakima	East Valley 90	Riverside Christian School	8316	Richard Van Beek	721 Keys Rd	Yakima	WA	98901-9560	509.965.2602	rvanbeek@riversidechristian.net	www.riversidechristianschool.com	P-12	NP	ACSI
Clark	Washougal	Riverside SDA Christian School	8973	Dan Wister	463 N Shepherd Rd                     (Mail: PO Box 367              Washougal 98671-0367)	Washougal	WA	98671-8318      	360.835.5600	riversidesch@gmail.com	www.riversidesda.com	P-8	NP	SDA
Lincoln	Odessa	Rock Creek Hutterite	8395	Phillip Walter	2194 N Schoonover Rd	Odessa	WA	99159-9729	509.982.2257	phil.0600@gmail.com		K-12	NP	
Walla Walla	College Place	Rogers Adventist School	8213	Clare Thompson	200 SW Academy Way	College Place	WA	99324-1275	509.529.1850	principal@rschool.org	www.rschool.org	K-8	NP	SDA
Whitman	Pullman	Royal Garrison School	8818	Peter Warwick	115 NW State St #207                        (Mail: PO Box 127                  Pullman 99163-0127)	Pullman	WA	99163-2616	509.332.0556	office@royalgarrison.com	royalgarrison.com	K-12	NP	
King	Bellevue	Sacred Heart School	8093	David Burroughs	9450 NE 14th St	Clyde Hill	WA	98004-3497	425.451.1773	dburroughs@sacredheart.org	www.sacredheart.org	P-8	NP	WCEA
Adams	Othello	Saddle Mountain School	1498	Phyllis Magden	2451 W Bench Rd	Othello	WA	99344-8901	509.488.5474	phyllismagden@yahoo.com	saddlemountainschool.com	4-12	P	
Spokane	Mead	Saint George's School	8199	Joe Kennedy	2929 W Waikiki Rd	Spokane	WA	99208-9209	509.466.1636	joe.kennedy@sgs.org	www.sgs.org	K-12	NP	NWAC
San Juan	Orcas Island	Salmonberry School	8636	Eliza Morris	867 N Beach Rd                          (Mail: PO Box 1197               Eastsound 98245-1197)	Eastsound	WA	98245-9711	360.376.6310	eliza@islandthyme.com	salmonberryschool.org	P-6	NP	
Pierce	Tacoma	Seabury School	8907	Sandra Wollum	1801 NE 53rd St	Tacoma	WA	98422-1916	253.952.3111	sandiw@seabury.org	www.seabury.org	P-5	NP	NWAC
Pierce	Tacoma	Seabury School--Middle School Campus	800M	Sandra Wollum	"925 Court C 
(Mail:  1801 53rd St NE                          
 Tacoma 98422-1916)"	Tacoma	WA	98402	253.604.0042	sandiw@seabury.org	www.seabury.org	6-8	NP	NWAC
King	Seattle	Seattle Academy of Arts/Sciences	8761	Joe Puggelli	1201 E Union St	Seattle	WA	98122-3925	206.323.6600	jpuggelli@seattleacademy.org	www.seattleacademy.org	6-12	NP	PNAIS
King	Seattle	Seattle Amistad School	802H	Farin Houk	"2410 E Cherry
(Mail: 1116 NW 54th St  #105
Seattle WA 98107)"	Seattle	WA	98122	206.330.6373	farinfive1@gmail.com	seattleamistadschool.org	P-1	NP	
King	Seattle	Seattle Area German American School	801A	Michael Brandstetter	520 NE Ravenna Blvd	Seattle	WA	98115-6460	206.235.5969	michael.brandstetter@gmail.com	www.sagaschool.org	P-2	NP	
King	Highline	Seattle Christian School	8084	Gloria Hunter	18301 Military Rd S	Seattle	WA	98188-4684	206.246.8241	ghunter@seattlechristian.org	www.seattlechristian.org	K-12	NP	ACSI
King	Seattle	Seattle Country Day School	8085	Michael G. Murphy	2619 4th Ave N	Seattle	WA	98109-1903	206.284.6220	michaelmurphy@seattlecountryday.org	www.seattlecountryday.org	K-8	NP	PNAIS
King	Seattle	Seattle Girls School	8500	Rafael del Castillo	2706 S Jackson St 	Seattle	WA	98144-2442	206.709.2228	rdelcastillo@seattlegirlsschool.org	www.seattlegirlsschool.org	5-8	NP	PNAIS
King	Seattle	Seattle Hebrew Academy	8057	Rivy Poupko Kletenik	1617 Interlaken Dr E	Seattle	WA	98112-3499	206.323.5750	kmay@sha613.org	www.seattlehebrewacademy.org	P-8	NP	PNAIS
King	Seattle	Seattle Jewish Community School	8017	Shoshi Bilavsky	12351 8th Ave NE	Seattle	WA	98125-4805	206.522.5212	chunstiger@seattlejcs.org	www.sjcs.net	K-5	NP	
King	Seattle	Seattle Lutheran High School	8455	Dave Meyer	4100 SW Genesee St	Seattle	WA	98116-4216	206.937.7722	 dmeyer@seattlelutheran.org 	www.seattlelutheran.org	9-12	NP	NLSA
King	Seattle	Seattle Prep/Matteo Ricci College	8059	Maureen Reid	2400 11th Ave E	Seattle	WA	98102-4016	206.577.2102	mreid@seaprep.org	www.seaprep.org	9-12	NP	
King	Seattle	Seattle Urban Academy	8940	Sharon Okamoto	3800 S Othello St	Seattle	WA	98118-3562	206.723.0333	sokamoto@seattleurbanacademy.org	www.seattleurbanacademy.org	9-12	NP	
King	Seattle	Seattle Waldorf School	8628	Tracy Bennett	2728 NE 100th St	Seattle	WA	98125-7712	206.524.5320	tracy.bennett@seattlewaldorf.org	www.seattlewaldorf.org	P-12	NP	
Yakima	Selah	Selah Covenant Christian School 	8313	Linda Leigh	560 McGonagle Dr 	Selah	WA	98942-8828	509.697.6116	lmleigh@msn.com	www.selahcovenantchurch.com	1-6	NP	
Thurston	Tumwater	Serendipity Academy at the Lodge (Formerly Serendipity Children's Center 2011) 	1499	Lynnette McCarty	4315 Tumwater Valley Dr. SE          	Tumwater	WA	98501-4405	360.515.5457	"lynninoly@gmail.com
lynnette@serendipity-academy.com"	www.serendipitychildrenscenter.com	K-6	P	
Clark	Evergreen 114	Seton Catholic College Preparatory High School	800N	Ed Little	811 NE 112th Ave  #200	Vancouver	WA	98684-5115	360.258.1932	elittle@setonhigh.org	www.setonhigh.org	9-12	NP	
Spokane	East Valley 361	Shamrock Educational Academy	8283	Thomas E Carter	13032 N March Horse Ln	Newman Lake	WA	99025-8420	509.226.3662	shamrock@ptera.net	www.shamrockacres.com	7-12	P	NWAC
Mason	Shelton	Shelton Valley Christian School	8123	Mrs. Judy McCain	201 W Shelton Valley Rd        (Mail: PO Box 773                 Shelton 98584-0773)	Shelton	WA	98584-8722	360.426.4198	judy_mccain@hotmail.com		K-8	NP	SDA
King	Shoreline	Shoreline Christian School	8105	Timothy E. Visser	2400 NE 147th St	Seattle	WA	98155-7395	206.364.7777	admin@shorelinechristian.org	www.shorelinechristian.org	P-12	NP	NWAC
King	Highline	Shorewood Christian School	8523	Tim Lorenz	10300 28th Ave SW	Seattle	WA	98146-1211	206.933.1056	tlorenz@shorewoodchristianschool.org	shorewoodchristianschool.org	P-12	NP	
Kitsap	North Kitsap	Silverwood School	8816	Susan Radtke	14000 Central Valley Rd NW	Poulsbo	WA	98370-8146	360.697.7526	susan@silverwoodschool.org	www.silverwoodschool.org	1-6	NP	
Skagit	Burlington-Edison	Skagit Adventist Academy (formerly Skagit Adventist School 2011)	8151	Doug White	530 N Section St             	Burlington	WA	98223-1568	360.755.9261	dwhite.sas@gmail.com	www.skagitadventist.com	P-12	NP	SDA
Clark	Vancouver	Skinner Elementary Montessori School  (formerly Skinner Montessori School) (2009)	8975	Peggy E Skinner (Nikki)	5001 NE 66th Ave	Vancouver	WA	98661-2465	360.696.4862	nikki@skinnermontessori.com	www.skinnermontessori.com	P-6	NP	
Pierce	Puyallup	Slavic Christian Academy--Edgewood	1493	Elena Solodyankin/Vadim Hetman	"10622 8th St E                                  (Mail: 8913 N Nettleton Ln,                Spokane  99208-8001)"	Edgewood	WA	98372-1133	253.952.7163	vhetman@slavicchristianacademy.com	www.slavicchristianacademy.com	P-12	NP	NWAC
Spokane	Mead	Slavic Christian Academy--Spokane 	1494	Elena Solodyankin	8913 N Nettleton Ln                                  	Spokane	WA	99206-8001	509.924.4618	esolodyankin@slavicchristianacademy.com	www.slavicchristianacademy.com	P-12	NP	NWAC
Pierce	Tacoma	Slavic Christian Academy--Tacoma 	1495	Elena Solodyankin	"2014 S 15th St                                 (Mail: 8913 N Nettleton Ln,                Spokane 99206-8001)"	Tacoma	WA	98415-2905	253.272.0173	aslobodyanik@slavicchristianacademy.com	www.slavicchristianacademy.com	P-10	NP	
Clark	Evergreen 114	Slavic Christian Academy-Vancouver	801M	Andrey Dolbinin	"16807 BE 4th Plain Blvd                  
Mail: 15407 NE 84th St                           
Vancouver 98682-9482)"	Vancouver	WA	98682-5142	360.896.2602	slavicacademy@yahoo.com	www.slavicacademy.org	P-8	NP	NWAC
King	Shoreline	Sno-King Academy 	1489	Dr Alice Westcott	19741 53rd Ave NE                       (Mail: 23104 - 80th Pl W                                Edmonds 98026-8715)	Lake Forest Park	WA	98155-3031	425.697.4021	snokingacad@aol.com		3-12	P	
King	Issaquah	Snoqualmie Springs School	8304	Joe Drovetto	25237 SE Issaquah Fall City Rd	Issaquah	WA	98029-7706	425.392.1196	snosprings@yahoo.com	www.snosprings.com	P-3	P	NWAC
Snohomish	Edmonds	Solomon Christian School	8983	Richard Lee	8021 230th St SW	Edmonds	WA	98026-8730	425.640.9000	rlee@solomonschool.com	www.solomonschool.com	7-12	P	
Clark	Vancouver	Sonshine Christian Elementary	802I	Rosemary Warner	11208 NE Hazel Dell Ave	Vancouver 	WA	98685-3957	360.573.6971	warfiv@comcast.net	sonshinedaycarevancouver.com	K-1	NP	
King	Seattle	Sound View Education dba Sterling West Seattle Campus (2011)	801B	Meghan Jadwin	9205 3rd Ave Sw	Seattle	WA	98106-3106	425.444.2812	meghan.jadwin@sterlinged.org	sterlinged.org	3-12	NP	
Snohomish	Edmonds	Soundview School (formerly Soundview Private School) (2008)	8678	Inae Piercy	6515 196th St SW	Lynnwood	WA	98036-5921	425.778.8572	ipiercy@soundview.org	www.soundview.org	P-8	NP	NAAS
Kitsap	South Kitsap	South Kitsap Christian School	8374	Sandra Jennings	1780 SE Lincoln Ave	Port Orchard	WA	98366-3054	360.876.5595	skcs@clcpo.org 	www.clcpo.org	P-12	NP	
Pierce	Bethel	South Sound Christian Schools-New Hope Campus	8717	Debbie Schindler	25713 70th Ave E	Graham	WA	98338-9324	253.847.2643	Judy.Sherman@southsoundchristian.org	www.southsoundchristian.org	P-6	NP	ACSI
Pierce	Tacoma	South Sound Christian Schools-Tacoma Baptist Campus	8144	Debbie Schindler	2052 S 64th St	Tacoma	WA	98409-6899	253.475.7226	debbieschindler@southsoundchristian.org	www.southsoundchristian.org	P-12	NP	ACSI
Spokane	Spokane	Southside Christian School	8502	Heidi Bauer	401 E 30th Ave	Spokane	WA	99203-2590	509.838.8139	heidimbauer@yahoo.com	southsidechristianschool.org	P-8	NP	
Clark	Camas	Spanish with Sarah	801X	Sarah Segall	2204 NE Birch St	Camas	WA	98607-1407	360.990.1585	sarah@spanishwithsarah.com	wwww.spanishwithsarah.com	P-2	P	
King	Bellevue	Spectrum Academy (formerly Spectrum Learning Community)  (2008)	8505	Uzma Butte	2576 152nd Ave. NE	Redmond	WA	98052-0702	425.885.2345	ubutte@hotmail.com	www.SpectrumAcademy.us	P-1	P	
Spokane	Orchard Prairie	Spokane Christian Academy	8687	Cheryl Gade	8909 E Bigelow Gulch Rd	Spokane	WA	99217-9559	509.924.4888	cherylg@scc-spokane.org	www.sca-spokane.org	K-8	NP	
